source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge,fraction,cumulative
8,10,19161,26812,47110.41074442864,53204.23344993591,0.3204530053793868,0.316547716154109,0.1463159019954661,0.1497274377289082,0.0034115357334421,0.0057880069228723,0.0059229614436967,0.0001349545208244,0.0058554841832845,True,0.0124821026667691,0.0124821026667691
8,0,18420,23656,42523.87835538387,48945.36881196499,0.2892546340403488,0.2912088702175773,0.1320710118972861,0.1377421341444167,0.0056711222471305,0.005224503425444,0.0054488433254766,0.0002243399000326,0.0053366733754603,True,0.011376156588667221,0.02385825925543632
18,24,3880,10123,9438.409566521645,22754.502464175224,0.0578984678022328,0.1253083537271915,0.0702832565805946,0.187055910374572,0.1167726537939773,0.0027927904973108,0.0074328936133014,0.0046401031159906,0.0051128420553061,True,0.010899016623678703,0.03475727587911502
5,7,40068,97231,137754.5574325323,217313.04831051824,1.0498888883868076,1.325406687520721,0.1291905581569086,0.1723938364812923,0.0432032783243836,0.0042159931550843,0.0056258850875239,0.0014098919324396,0.0049209391213041,True,0.010489938219692038,0.04524721409880706
30,9,25757,39565,77506.30552721024,92709.89612543584,0.7209795718075416,0.309673113464058,0.1035898457647542,0.1141004990216018,0.0105106532568476,0.0045277056112417,0.0049871053079737,0.000459399696732,0.0047574054596077,True,0.010141334433758463,0.05538854853256552
30,4,27973,43345,77687.0904211998,83890.75335288048,0.7226612700199806,0.2802150780805843,0.1038314709997281,0.1032465488679974,-0.0005849221317307,0.0045382665684874,0.004512700788382,-2.5565780105425533e-05,0.0045254836784347,True,0.009646948078565965,0.06503549661113149
29,7,65845,86650,228628.6986539364,177093.3645348549,1.955742958622844,1.3981825785368105,0.1496030991547109,0.1846853977774348,0.0350822986227239,0.0035732066041501,0.0044111324348032,0.000837925830653,0.0039921695194767,True,0.008510085288506929,0.07354558189963842
23,4,25759,51726,71513.86952900887,95326.73982810974,0.7042069932222578,0.6549036026475883,0.1209875144643265,0.1554415112726367,0.0344539968083101,0.0033914199770458,0.0043572053606213,0.0009657853835755,0.0038743126688335,True,0.008258850503532185,0.0818044324031706
18,28,5899,5338,13786.353259205818,10911.281217336656,0.0845702578027138,0.0600880941497853,0.1026602836630841,0.0896973970173711,-0.012962886645713,0.0040793309618019,0.0035642349289317,-0.0005150960328702,0.0038217829453668,True,0.008146873187763816,0.08995130559093442
19,7,28736,52199,113372.68130075932,82570.14401912689,1.820586137962481,0.7948559720952826,0.2154422192098585,0.1913815145362382,-0.0240607046736203,0.0039568849890947,0.0035149779130385,-0.0004419070760562,0.0037359314510666,True,0.007963864040713307,0.09791516963164773
8,28,12954,16573,29723.46598374844,32564.12533724308,0.2021840577119273,0.1937458513289203,0.0923153856466435,0.0916420129089238,-0.0006733727377196,0.0036518388221873,0.0036252013479658,-2.663747422146671e-05,0.0036385200850766,True,0.007756212780264446,0.10567138241191218
9,30,43149,57261,124479.7445936203,134296.0700532198,0.5819199952003489,0.7791861526040111,0.0856577840516599,0.0975361606634033,0.0118783766117433,0.0033461780089411,0.0038102007832889,0.0004640227743478,0.003578189396115,True,0.0076276061902705175,0.1132989886021827
16,31,35601,39120,99978.18255519868,76276.9066618681,0.6372169455929184,0.438026288134752,0.0953830820759422,0.0872244516163246,-0.0081586304596176,0.0036435550811425,0.0033319021253003,-0.0003116529558421,0.0034877286032214,True,0.007434771427359095,0.1207337600295418
31,16,56013,49381,129487.36853814124,94707.64720749856,0.6918195515517981,0.4026068574592997,0.0752698803144687,0.071160284967763,-0.0041095953467056,0.0035270241091095,0.0033344551584754,-0.0001925689506341,0.0034307396337925,True,0.007313288362078935,0.12804704839162073
15,31,27118,30289,100118.5234736204,55438.45146548748,0.6598318800232993,0.3365706540245101,0.1115794114005985,0.0790471108028893,-0.0325323005977092,0.0039863460039885,0.0028240795530334,-0.001162266450955,0.0034052127785109,True,0.007258872908392924,0.13530592130001365
30,27,18629,26861,57083.99905943871,64488.59682893753,0.5310070828300207,0.2154072585296145,0.0762947300607256,0.0793678063173439,0.0030730762566182,0.0033346905273765,0.003469008563166,0.0001343180357895,0.0034018495452713,True,0.00725170352303128,0.14255762482304493
27,9,26487,43321,80326.03259909153,130049.03630423546,0.5677090368655242,0.5210320039302347,0.0716820979805329,0.102277713445833,0.0305956154653,0.0027623377099349,0.0039413688033248,0.0011790310933898,0.0033518532566299,True,0.007145126716016608,0.14970275153906154
18,0,5822,4435,12059.961984992027,9390.062459349632,0.0739799767919524,0.0517107886682705,0.0898046854789948,0.0771920495547255,-0.0126126359242692,0.0035684981661616,0.0030673197707788,-0.0005011783953828,0.0033179089684702,True,0.007072767868055019,0.15677551940711656
